"Region","Total_Damage","Total_Bear_Sightings","Avg_Forest_Area","Damage_per_Hectare"
"Muntenia",283,33453,2585.17,0.109470557062011
"Transilvania",213,26078,5889.23,0.036167716322847
"Dobrogea",51,5585,407.436666666667,0.125172828496863
"Maramureș",32,6024,986.713333333333,0.0324308985385826
"Crișana",20,4851,1215.87666666667,0.0164490367718217
"Bucovina",15,1682,1296.07,0.0115734489649479
"Moldova",2,1028,2901.76,0.000689236876929863
"Banat",0,0,1504.29,0
"Oltenia",0,0,2399.45666666667,0
